2018-03-15_12-13-10-0518 Json file loaded: ../../../../config/setting.json
2018-03-15_12-13-10-1040 Json file loaded: ../../../../database/costume/data/data.json
2018-03-15_12-13-10-1045 Json file loaded: ../../../../database/costume/data/data_invalid.json
2018-03-15_12-13-10-1917 Json file loaded: ../../../../database/attach/data/data.json
2018-03-15_12-13-10-1917 Json file loaded: ../../../../database/attach/data/data_invalid.json
2018-03-15_12-13-10-2709 Json file loaded: ../../../../database/weapon/data/data.json
2018-03-15_12-13-10-2714 Json file loaded: ../../../../database/weapon/data/data_invalid.json
2018-03-15_12-13-10-2734 Json file loaded: ../../config/i18n-en_US.json
2018-03-15_12-13-10-3351 [App] BladeSoulTool App start ...
2018-03-15_12-13-10-3586 Json file loaded: ../../../../database/costume/data/origin.json
2018-03-15_12-13-10-4133 Start to load data table ...
2018-03-15_12-13-10-4343 [BstManager] GetCostumeDataByRace: 0
2018-03-15_12-13-10-5035 Data table loaded, start to load icons ...
2018-03-15_12-13-10-5060 Icon download succeeded: 
2018-03-15_12-13-10-5065 Icon download succeeded: 
2018-03-15_12-13-10-5065 Icon download succeeded: 
2018-03-15_12-13-10-5065 Icon download succeeded: 
2018-03-15_12-13-10-5065 Icon download succeeded: 
2018-03-15_12-13-10-5070 Icon download succeeded: 
2018-03-15_12-13-10-5070 Icon download succeeded: 
2018-03-15_12-13-10-5070 Icon download succeeded: 
2018-03-15_12-13-10-5070 Icon download succeeded: 
2018-03-15_12-13-10-5075 Icon download succeeded: 
2018-03-15_12-13-10-5075 Icon download succeeded: 
2018-03-15_12-13-10-5075 Icon download succeeded: 
2018-03-15_12-13-10-5075 Icon download succeeded: 
2018-03-15_12-13-10-5080 Icon download succeeded: 
2018-03-15_12-13-10-5080 Icon download succeeded: 
2018-03-15_12-13-10-5080 Icon download succeeded: 
2018-03-15_12-13-10-5080 Icon download succeeded: 
2018-03-15_12-13-10-5085 Icon download succeeded: 
2018-03-15_12-13-10-5085 Icon download succeeded: 
2018-03-15_12-13-10-5085 Icon download succeeded: 
2018-03-15_12-13-10-5085 Icon download succeeded: 
2018-03-15_12-13-10-5090 Icon download succeeded: 
2018-03-15_12-13-10-5090 Icon download succeeded: 
2018-03-15_12-13-10-5090 Icon download succeeded: 
2018-03-15_12-13-10-5090 Icon download succeeded: 
2018-03-15_12-13-10-5095 Icon download succeeded: 
2018-03-15_12-13-10-5095 Icon download succeeded: 
2018-03-15_12-13-10-5095 Icon download succeeded: 
2018-03-15_12-13-10-5095 Icon download succeeded: 
2018-03-15_12-13-10-5101 Icon download succeeded: 
2018-03-15_12-13-10-5101 Icon download succeeded: 
2018-03-15_12-13-10-5101 Icon download succeeded: 
2018-03-15_12-13-10-5101 Icon download succeeded: 
2018-03-15_12-13-10-5106 Icon download succeeded: 
2018-03-15_12-13-10-5106 Icon download succeeded: 
2018-03-15_12-13-10-5106 Icon download succeeded: 
2018-03-15_12-13-10-5106 Icon download succeeded: 
2018-03-15_12-13-10-5111 Icon download succeeded: 
2018-03-15_12-13-10-5111 Icon download succeeded: 
2018-03-15_12-13-10-5111 Icon download succeeded: 
2018-03-15_12-13-10-5111 Icon download succeeded: 
