2018-03-15_18-43-45-1554 Json file loaded: ../../../../config/setting.json
2018-03-15_18-43-45-2050 Json file loaded: ../../../../database/costume/data/data.json
2018-03-15_18-43-45-2055 Json file loaded: ../../../../database/costume/data/data_invalid.json
2018-03-15_18-43-45-2952 Json file loaded: ../../../../database/attach/data/data.json
2018-03-15_18-43-45-2952 Json file loaded: ../../../../database/attach/data/data_invalid.json
2018-03-15_18-43-45-3704 Json file loaded: ../../../../database/weapon/data/data.json
2018-03-15_18-43-45-3709 Json file loaded: ../../../../database/weapon/data/data_invalid.json
2018-03-15_18-43-45-3734 Json file loaded: ../../config/i18n-en_US.json
2018-03-15_18-43-45-4466 [App] BladeSoulTool App start ...
2018-03-15_18-43-45-4747 System.Net.WebException: לא היתה אפשרות לאתר חלק מהנתיב 'D:\UltimateBNS\VS_GUI\BladeSoulTool\bin\Release\master\VERSION.txt'. ---> System.Net.WebException: לא היתה אפשרות לאתר חלק מהנתיב 'D:\UltimateBNS\VS_GUI\BladeSoulTool\bin\Release\master\VERSION.txt'. ---> System.IO.DirectoryNotFoundException: לא היתה אפשרות לאתר חלק מהנתיב 'D:\UltimateBNS\VS_GUI\BladeSoulTool\bin\Release\master\VERSION.txt'.
   ב-  System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   ב-  System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy)
   ב-  System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize, FileOptions options, String msgPath, Boolean bFromProxy)
   ב-  System.Net.FileWebStream..ctor(FileWebRequest request, String path, FileMode mode, FileAccess access, FileShare sharing, Int32 length, Boolean async)
   ב-  System.Net.FileWebResponse..ctor(FileWebRequest request, Uri uri, FileAccess access, Boolean asyncHint)
   --- סוף רכיב מעקב אחר מחסנית של מצב חריג פנימי ---
   ב-  System.Net.FileWebResponse..ctor(FileWebRequest request, Uri uri, FileAccess access, Boolean asyncHint)
   ב-  System.Net.FileWebRequest.GetResponseCallback(Object state)
   --- סוף רכיב מעקב אחר מחסנית של מצב חריג פנימי ---
   ב-  System.Net.WebClient.DownloadDataInternal(Uri address, WebRequest& request)
   ב-  System.Net.WebClient.DownloadString(Uri address)
   ב-  System.Net.WebClient.DownloadString(String address)
   ב-  BladeSoulTool.lib.BstManager.GetStringFromWeb(String url) ב- D:\Unreal Engine 3\UltimateBNSSrc\BladeSoulTool\lib\BstManager.cs:שורה 369
2018-03-15_18-43-45-4777 Json file loaded: ../../../../database/costume/data/origin.json
2018-03-15_18-43-45-5319 Start to load data table ...
2018-03-15_18-43-45-5564 [BstManager] GetCostumeDataByRace: 0
2018-03-15_18-43-45-6291 Data table loaded, start to load icons ...
2018-03-15_18-43-45-6321 Icon download succeeded: 
2018-03-15_18-43-45-6321 Icon download succeeded: 
2018-03-15_18-43-45-6321 Icon download succeeded: 
2018-03-15_18-43-45-6326 Icon download succeeded: 
2018-03-15_18-43-45-6326 Icon download succeeded: 
2018-03-15_18-43-45-6326 Icon download succeeded: 
2018-03-15_18-43-45-6326 Icon download succeeded: 
2018-03-15_18-43-45-6331 Icon download succeeded: 
2018-03-15_18-43-45-6331 Icon download succeeded: 
2018-03-15_18-43-45-6331 Icon download succeeded: 
2018-03-15_18-43-45-6331 Icon download succeeded: 
2018-03-15_18-43-45-6336 Icon download succeeded: 
2018-03-15_18-43-45-6336 Icon download succeeded: 
2018-03-15_18-43-45-6336 Icon download succeeded: 
2018-03-15_18-43-45-6341 Icon download succeeded: 
2018-03-15_18-43-45-6341 Icon download succeeded: 
2018-03-15_18-43-45-6341 Icon download succeeded: 
2018-03-15_18-43-45-6346 Icon download succeeded: 
2018-03-15_18-43-45-6346 Icon download succeeded: 
2018-03-15_18-43-45-6346 Icon download succeeded: 
2018-03-15_18-43-45-6346 Icon download succeeded: 
2018-03-15_18-43-45-6346 Icon download succeeded: 
2018-03-15_18-43-45-6351 Icon download succeeded: 
2018-03-15_18-43-45-6351 Icon download succeeded: 
2018-03-15_18-43-45-6351 Icon download succeeded: 
2018-03-15_18-43-45-6351 Icon download succeeded: 
2018-03-15_18-43-45-6356 Icon download succeeded: 
2018-03-15_18-43-45-6356 Icon download succeeded: 
2018-03-15_18-43-45-6356 Icon download succeeded: 
2018-03-15_18-43-45-6356 Icon download succeeded: 
2018-03-15_18-43-45-6361 Icon download succeeded: 
2018-03-15_18-43-45-6361 Icon download succeeded: 
2018-03-15_18-43-45-6361 Icon download succeeded: 
2018-03-15_18-43-45-6366 Icon download succeeded: 
2018-03-15_18-43-45-6366 Icon download succeeded: 
2018-03-15_18-43-45-6366 Icon download succeeded: 
2018-03-15_18-43-45-6366 Icon download succeeded: 
2018-03-15_18-43-45-6371 Icon download succeeded: 
2018-03-15_18-43-45-6371 Icon download succeeded: 
2018-03-15_18-43-45-6371 Icon download succeeded: 
2018-03-15_18-43-45-6376 Icon download succeeded: 
2018-03-15_18-43-45-6376 Icon download succeeded: 
2018-03-15_18-43-45-6517 Icon download succeeded: 
2018-03-15_18-43-45-6522 Icon download succeeded: 
2018-03-15_18-43-45-6522 Icon download succeeded: 
2018-03-15_18-43-45-6522 Icon download succeeded: 
2018-03-15_18-43-45-6522 Icon download succeeded: 
2018-03-15_18-43-45-6527 Icon download succeeded: 
2018-03-15_18-43-45-6527 Icon download succeeded: 
2018-03-15_18-43-45-6527 Icon download succeeded: 
2018-03-15_18-43-45-6527 Icon download succeeded: 
